Nomor,Operasi,Volume (MB),Client Workers,Server Workers,Waktu Avg (s),Throughput Avg (B/s),Client Sukses,Client Gagal
1,upload,10,1,1,0.2686,40930877122034.93,1,0
2,download,10,1,1,0.2187,50271936260038.59,1,0
3,upload,10,5,1,0.8153,14062806977932.70,5,0
4,download,10,5,1,0.3746,37930330062582.55,5,0
5,upload,10,50,1,4.1652,2708782509320.41,50,0
6,download,10,50,1,2.1038,9662877352515.51,40,10
7,upload,50,1,1,1.8646,29484221277314.96,1,0
8,download,50,1,1,1.1526,47695889852922.71,1,0
9,upload,50,5,1,8.8518,6597336811619.81,5,0
10,download,50,5,1,4.2055,17676556228556.69,5,0
11,upload,50,50,1,ERROR,0,0,50
12,download,50,50,1,29.4720,3780325475367.02,50,0
13,upload,100,1,1,5.6077,19607276829072.29,1,0
14,download,100,1,1,3.4325,32032575557796.08,1,0
15,upload,100,5,1,16.4614,8147150643329.79,5,0
16,download,100,5,1,9.6277,15299548513874.13,5,0
17,upload,100,50,1,ERROR,0,0,50
18,download,100,50,1,70.7312,3030336410524.78,42,8
19,upload,10,1,5,0.4105,26783569254802.66,1,0
20,download,10,1,5,0.2370,46387064836949.11,1,0
21,upload,10,5,5,1.1279,9776181176852.34,5,0
22,download,10,5,5,0.7735,14427045304994.62,5,0
23,upload,10,50,5,7.1518,1593942520837.36,50,0
24,download,10,50,5,4.3220,3980388303653.71,50,0
25,upload,50,1,5,1.8077,30411514657392.07,1,0
26,download,50,1,5,1.3329,41246210657159.73,1,0
27,upload,50,5,5,9.2325,5959875773022.00,5,0
28,download,50,5,5,5.7856,9563653068139.03,5,0
29,upload,50,50,5,ERROR,0,0,50
30,download,50,50,5,27.7372,3911275530562.10,50,0
31,upload,100,1,5,6.3885,17210859770934.39,1,0
32,download,100,1,5,3.1572,34826059991650.75,1,0
33,upload,100,5,5,25.0507,4411153207887.70,5,0
34,download,100,5,5,15.1257,7306566205099.07,5,0
35,upload,100,50,5,ERROR,0,0,50
36,download,100,50,5,78.5474,2164319782439.14,50,0
37,upload,10,1,50,0.2768,39728823004549.38,1,0
38,download,10,1,50,0.1774,61975031156633.18,1,0
39,upload,10,5,50,0.8491,13319356134454.83,5,0
40,download,10,5,50,0.5832,21126645813198.30,5,0
41,upload,10,50,50,7.9057,1428812704630.55,50,0
42,download,10,50,50,3.6096,5133401188533.14,50,0
43,upload,50,1,50,1.5005,36638245611074.81,1,0
44,download,50,1,50,1.2157,45220437366188.97,1,0
45,upload,50,5,50,6.8504,8098370512190.90,5,0
46,download,50,5,50,4.9544,11159260653337.26,5,0
47,upload,50,50,50,ERROR,0,0,50
48,download,50,50,50,50.3424,1810785631229.44,50,0
49,upload,100,1,50,20.9238,5254843557291.12,1,0
50,download,100,1,50,3.3278,33040076848680.46,1,0
51,upload,100,5,50,49.5327,2221809371764.59,5,0
52,download,100,5,50,15.3578,7181850616658.53,5,0
53,upload,100,50,50,ERROR,0,0,50
54,download,100,50,50,ERROR,0,0,50
